"stories_per_100k","city","state"
1734.37566747832030400000,Keene,NH
1617.33292645712542000000,Dover,DE
1528.96995708154506400000,Bozeman,MT
1430.24162120031176900000,La Crosse,WI
1013.39745791824115400000,Bay City,MI
1002.05549845837615600000,Faribault,MN
929.69943963321446800000,Cedar Falls,IA
929.57230515614983100000,Charleston,IL
911.78267612915354600000,Biddeford,ME
875.05886046146601800000,Rexburg,ID
862.51082557132505000000,Marietta,GA
859.80651608156631900000,Yakima,WA
829.37513843427755800000,Quincy,IL
808.85056318727230200000,Texarkana,AR
783.50849701456245100000,Spartanburg,SC
765.79451180599872400000,Grand Rapids,MI
755.97663344951156100000,Golden Valley,MN
706.99767012131437300000,Utica,NY
656.61131465004520200000,State College,PA
650.37653378271630900000,Ann Arbor,MI
599.31814103714337000000,Alton,IL
599.29174611822391700000,Newnan,GA
576.56646876412198300000,Walnut Creek,CA
574.81587928866534900000,Willoughby,OH
558.13279211365613200000,Winona,MN
535.52178599993045200000,Henderson,KY
523.10010043521928400000,Woodstock,GA
507.97844149278801100000,Stamford,CT
473.11223533820498400000,Oxford,AL
468.10744597077609600000,Searcy,AR
432.48716279742532700000,Apple Valley,CA
411.61123635350439500000,Merced,CA
406.57530405523816200000,Elizabethtown,KY
371.57309685880222300000,Menlo Park,CA
368.63993428146018400000,Boulder,CO
357.16584078769547600000,West Bend,WI
345.84125886218225800000,Owasso,OK
326.56574350665789100000,Beverly,MA
305.56730502763962000000,Pasadena,CA
295.89814588592990700000,Marion,OH
276.77901652913939800000,Coppell,TX
272.33769874644559300000,Medford,OR
270.87847974662443700000,Loves Park,IL
264.53426852495691900000,Rock Hill,SC
251.58990844922775900000,Royal Oak,MI
233.65885806722185600000,Glendora,CA
222.17285047767162900000,East St. Louis,IL
220.39749566031479800000,Milford City (Balance),CT
206.00465417922404900000,Kingsville,TX
205.63035495716034300000,Acworth,GA
202.37647807106305500000,Cottage Grove,MN
200.43372543865413700000,Issaquah,WA
190.19932270485085600000,Flower Mound,TX
190.16571583808747600000,Darien,IL
188.19441931164272000000,Plainfield,IN
172.59310070143606300000,Beavercreek,OH
166.58977907632374800000,Rock Island,IL
158.95867074560614200000,Oviedo,FL
148.79157115856355800000,Minnetonka,MN
131.60441261854073900000,Belmont,CA
129.03692626805914000000,Tracy,CA
116.90407512357523200000,Laredo,TX
115.84129742253113200000,Parma Heights,OH
115.57468515861629200000,Pearl,MS
104.90469811655718900000,Woodbury,MN
99.75966988618328600000,La Porte,IN
96.29116717877699400000,Vacaville,CA
87.91466416598288600000,Antioch,CA
87.15083798882681600000,Strongsville,OH
80.84074373484236100000,New Berlin,WI
76.78938112558149100000,Stockton,CA
75.55152614082804500000,Holladay,UT
66.75328700337342500000,Cicero,IL
66.69773870558171700000,Visalia,CA
61.69031462060456500000,Corona,CA
61.24712386816970400000,West Allis,WI
60.86776258044027700000,Glendale,AZ
54.72670326339541300000,Thornton,CO
48.52854518354189100000,Garfield Heights,OH
48.22569625848973200000,Elmwood Park,IL
36.86893728466633600000,Hemet,CA
34.32887058015791300000,Mesquite,TX
29.55519432540269000000,Slidell,LA
21.20397540338853200000,Paterson,NJ
18.66119271680307100000,Valley Stream,NY
18.41168528292623100000,La Vergne,TN
16.16787358424738500000,Surprise,AZ
13.19534769741182700000,West Covina,CA
9.165302782324058919800000,Palmdale,CA
9.013364361157315984000000,Miramar,FL
8.526845351448142568900000,St. Cloud,FL
5.545927209705372617000000,Wyoming,MI
0.000000000000000000000000,Hurst,TX
0.000000000000000000000000,Independence,KY
0.000000000000000000000000,Lomita,CA
0.000000000000000000000000,Belton,MO
0.000000000000000000000000,Prichard,AL
0.000000000000000000000000,Springville,UT
0.000000000000000000000000,Lincoln Park Cit,
0.000000000000000000000000,Lauderdale Lakes,FL
