"city","state","population_band","stories_per_100k","median_stories_per_100k","status"
Lauderdale Lakes,FL,"2 - 30,000 to 50,000",0.000000000000000000000000,202.37647807106305,Underserved
Belton,MO,"1 - Under 30,000",0.000000000000000000000000,222.17285047767163,Underserved
Springville,UT,"1 - Under 30,000",0.000000000000000000000000,222.17285047767163,Underserved
Prichard,AL,"1 - Under 30,000",0.000000000000000000000000,222.17285047767163,Underserved
Lomita,CA,"1 - Under 30,000",0.000000000000000000000000,222.17285047767163,Underserved
Hurst,TX,"2 - 30,000 to 50,000",0.000000000000000000000000,202.37647807106305,Underserved
Independence,KY,"1 - Under 30,000",0.000000000000000000000000,222.17285047767163,Underserved
Lincoln Park Cit,,"2 - 30,000 to 50,000",0.000000000000000000000000,202.37647807106305,Underserved
Wyoming,MI,"3 - 50,000 to 100,000",5.545927209705372617000000,251.58990844922775,Underserved
St. Cloud,FL,"2 - 30,000 to 50,000",8.526845351448142568900000,202.37647807106305,Underserved
Miramar,FL,"4 - 100,000 to 300,000",9.013364361157315984000000,61.69031462060457,Underserved
Palmdale,CA,"4 - 100,000 to 300,000",9.165302782324058919800000,61.69031462060457,Underserved
West Covina,CA,"4 - 100,000 to 300,000",13.19534769741182700000,61.69031462060457,Underserved
Surprise,AZ,"4 - 100,000 to 300,000",16.16787358424738500000,61.69031462060457,Underserved
La Vergne,TN,"2 - 30,000 to 50,000",18.41168528292623100000,202.37647807106305,Underserved
Valley Stream,NY,"2 - 30,000 to 50,000",18.66119271680307100000,202.37647807106305,Underserved
Paterson,NJ,"4 - 100,000 to 300,000",21.20397540338853200000,61.69031462060457,Underserved
Slidell,LA,"1 - Under 30,000",29.55519432540269000000,222.17285047767163,Underserved
Mesquite,TX,"4 - 100,000 to 300,000",34.32887058015791300000,61.69031462060457,Underserved
Hemet,CA,"3 - 50,000 to 100,000",36.86893728466633600000,251.58990844922775,Underserved
Elmwood Park,IL,"1 - Under 30,000",48.22569625848973200000,222.17285047767163,Underserved
Garfield Heights,OH,"1 - Under 30,000",48.52854518354189100000,222.17285047767163,Underserved
Thornton,CO,"4 - 100,000 to 300,000",54.72670326339541300000,61.69031462060457,Underserved
Glendale,AZ,"4 - 100,000 to 300,000",60.86776258044027700000,61.69031462060457,Underserved
West Allis,WI,"3 - 50,000 to 100,000",61.24712386816970400000,251.58990844922775,Underserved
Cicero,IL,"3 - 50,000 to 100,000",66.75328700337342500000,251.58990844922775,Underserved
Holladay,UT,"1 - Under 30,000",75.55152614082804500000,222.17285047767163,Underserved
New Berlin,WI,"2 - 30,000 to 50,000",80.84074373484236100000,202.37647807106305,Underserved
Strongsville,OH,"2 - 30,000 to 50,000",87.15083798882681600000,202.37647807106305,Underserved
Vacaville,CA,"3 - 50,000 to 100,000",96.29116717877699400000,251.58990844922775,Underserved
La Porte,IN,"1 - Under 30,000",99.75966988618328600000,222.17285047767163,Underserved
Woodbury,MN,"3 - 50,000 to 100,000",104.90469811655718900000,251.58990844922775,Underserved
Pearl,MS,"1 - Under 30,000",115.57468515861629200000,222.17285047767163,Underserved
Parma Heights,OH,"1 - Under 30,000",115.84129742253113200000,222.17285047767163,Underserved
Tracy,CA,"3 - 50,000 to 100,000",129.03692626805914000000,251.58990844922775,Underserved
Belmont,CA,"1 - Under 30,000",131.60441261854073900000,222.17285047767163,Underserved
Minnetonka,MN,"2 - 30,000 to 50,000",148.79157115856355800000,202.37647807106305,Underserved
Oviedo,FL,"2 - 30,000 to 50,000",158.95867074560614200000,202.37647807106305,Underserved
Rock Island,IL,"2 - 30,000 to 50,000",166.58977907632374800000,202.37647807106305,Underserved
Beavercreek,OH,"2 - 30,000 to 50,000",172.59310070143606300000,202.37647807106305,Underserved
Plainfield,IN,"1 - Under 30,000",188.19441931164272000000,222.17285047767163,Underserved
Darien,IL,"1 - Under 30,000",190.16571583808747600000,222.17285047767163,Underserved
Flower Mound,TX,"3 - 50,000 to 100,000",190.19932270485085600000,251.58990844922775,Underserved
Issaquah,WA,"2 - 30,000 to 50,000",200.43372543865413700000,202.37647807106305,Underserved
Acworth,GA,"1 - Under 30,000",205.63035495716034300000,222.17285047767163,Underserved
Kingsville,TX,"1 - Under 30,000",206.00465417922404900000,222.17285047767163,Underserved
Milford City (Balance),CT,"3 - 50,000 to 100,000",220.39749566031479800000,251.58990844922775,Underserved
Glendora,CA,"3 - 50,000 to 100,000",233.65885806722185600000,251.58990844922775,Underserved
